Not using distributed mode
Namespace(aux_loss=False, batch_size=3, dataset='coco', device='cuda', dist_url='env://', distributed=False, epochs=30, lr=0.01, model='fcn_resnet101', momentum=0.9, output_dir='.', pretrained=True, print_freq=10, resume='', start_epoch=0, test_only=True, weight_decay=0.0001, workers=0, world_size=1)
loading annotations into memory...
Done (t=13.98s)
creating index...
index created!
loading annotations into memory...
Done (t=0.41s)
creating index...
index created!
Test:  [   0/1667]  eta: 0:18:35    time: 0.6694  data: 0.0871  max mem: 809
Test:  [ 100/1667]  eta: 0:12:37    time: 0.4787  data: 0.0633  max mem: 1367
Test:  [ 200/1667]  eta: 0:12:09    time: 0.5153  data: 0.0705  max mem: 1575
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                         Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
---------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
conv2d                       0.00%            5.459ms          0.21%            277.775ms        402.572us        0.25%            1.236s           1.791ms          690              [[3, 256, 87, 98], [1024, 256, 1, 1  
convolution                  0.00%            4.776ms          0.20%            272.315ms        394.660us        0.25%            1.234s           1.788ms          690              [[3, 256, 87, 98], [1024, 256, 1, 1  
_convolution                 0.02%            27.077ms         0.20%            267.539ms        387.738us        0.25%            1.231s           1.785ms          690              [[3, 256, 87, 98], [1024, 256, 1, 1  
cudnn_convolution            0.06%            78.020ms         0.16%            213.579ms        309.535us        0.25%            1.215s           1.760ms          690              [[3, 256, 87, 98], [1024, 256, 1, 1  
conv2d                       0.00%            260.051us        0.01%            16.528ms         550.924us        0.25%            1.213s           40.430ms         30               [[3, 2048, 98, 98], [512, 2048, 3,   
convolution                  0.00%            209.221us        0.01%            16.268ms         542.256us        0.25%            1.213s           40.427ms         30               [[3, 2048, 98, 98], [512, 2048, 3,   
_convolution                 0.00%            890.950us        0.01%            16.058ms         535.282us        0.25%            1.213s           40.426ms         30               [[3, 2048, 98, 98], [512, 2048, 3,   
cudnn_convolution            0.00%            3.646ms          0.01%            11.199ms         373.284us        0.25%            1.212s           40.400ms         30               [[3, 2048, 98, 98], [512, 2048, 3,   
conv2d                       0.00%            1.829ms          0.06%            85.690ms         372.563us        0.22%            1.049s           4.563ms          230              [[3, 256, 65, 116], [256, 256, 3, 3  
convolution                  0.00%            1.628ms          0.06%            83.860ms         364.611us        0.22%            1.049s           4.560ms          230              [[3, 256, 65, 116], [256, 256, 3, 3  
_convolution                 0.01%            7.084ms          0.06%            82.233ms         357.534us        0.22%            1.048s           4.557ms          230              [[3, 256, 65, 116], [256, 256, 3, 3  
cudnn_convolution            0.02%            23.601ms         0.05%            62.039ms         269.736us        0.21%            1.042s           4.532ms          230              [[3, 256, 65, 116], [256, 256, 3, 3  
conv2d                       0.00%            256.932us        0.01%            15.310ms         510.343us        0.21%            1.012s           33.745ms         30               [[3, 2048, 87, 98], [512, 2048, 3,   
convolution                  0.00%            231.630us        0.01%            15.053ms         501.779us        0.21%            1.012s           33.742ms         30               [[3, 2048, 87, 98], [512, 2048, 3,   
_convolution                 0.00%            914.973us        0.01%            14.822ms         494.058us        0.21%            1.012s           33.739ms         30               [[3, 2048, 87, 98], [512, 2048, 3,   
cudnn_convolution            0.00%            3.604ms          0.01%            10.573ms         352.445us        0.21%            1.011s           33.714ms         30               [[3, 2048, 87, 98], [512, 2048, 3,   
conv2d                       0.00%            1.479ms          0.12%            161.325ms        881.555us        0.18%            881.178ms        4.815ms          183              [[3, 512, 65, 98], [2048, 512, 1, 1  
convolution                  0.00%            1.287ms          0.12%            159.846ms        873.474us        0.18%            880.634ms        4.812ms          183              [[3, 512, 65, 98], [2048, 512, 1, 1  
_convolution                 0.01%            18.421ms         0.12%            158.559ms        866.442us        0.18%            880.042ms        4.809ms          183              [[3, 512, 65, 98], [2048, 512, 1, 1  
cudnn_convolution            0.05%            63.006ms         0.09%            122.970ms        671.965us        0.18%            875.500ms        4.784ms          183              [[3, 512, 65, 98], [2048, 512, 1, 1  
conv2d                       0.00%            383.846us        0.01%            18.298ms         381.203us        0.18%            870.064ms        18.126ms         48               [[3, 512, 98, 87], [512, 512, 3, 3]  
convolution                  0.00%            362.137us        0.01%            17.914ms         373.206us        0.18%            869.975ms        18.124ms         48               [[3, 512, 98, 87], [512, 512, 3, 3]  
_convolution                 0.00%            1.653ms          0.01%            17.552ms         365.662us        0.18%            869.825ms        18.121ms         48               [[3, 512, 98, 87], [512, 512, 3, 3]  
cudnn_convolution            0.01%            7.266ms          0.01%            11.243ms         234.227us        0.18%            868.698ms        18.098ms         48               [[3, 512, 98, 87], [512, 512, 3, 3]  
conv2d                       0.00%            4.225ms          0.34%            450.868ms        891.043us        0.17%            833.533ms        1.647ms          506              [[3, 1024, 65, 87], [256, 1024, 1,   
convolution                  0.00%            3.611ms          0.33%            446.643ms        882.693us        0.17%            831.883ms        1.644ms          506              [[3, 1024, 65, 87], [256, 1024, 1,   
_convolution                 0.06%            78.501ms         0.33%            443.032ms        875.557us        0.17%            830.408ms        1.641ms          506              [[3, 1024, 65, 87], [256, 1024, 1,   
conv2d                       0.00%            2.856ms          0.35%            467.870ms        1.329ms          0.17%            822.126ms        2.336ms          352              [[3, 1024, 98, 87], [256, 1024, 1,   
convolution                  0.00%            2.507ms          0.35%            465.014ms        1.321ms          0.17%            820.925ms        2.332ms          352              [[3, 1024, 98, 87], [256, 1024, 1,   
_convolution                 0.08%            103.297ms        0.34%            462.507ms        1.314ms          0.17%            819.908ms        2.329ms          352              [[3, 1024, 98, 87], [256, 1024, 1,   
cudnn_convolution            0.04%            52.249ms         0.15%            198.504ms        392.301us        0.17%            818.282ms        1.617ms          506              [[3, 1024, 65, 87], [256, 1024, 1,   
